label,cell,family,ladder,rung,physical_position,charge,spin_odd,rung_pair,leg_pair_right
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,55,55,0.9173929115070111,9.497415056472502e-06,-0.03155505915362403,0.017538932014952317
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,56,56,0.9163374921336401,9.84693797893843e-06,-0.032711338209838514,0.018082792788840223
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,57,57,0.9187546188691289,-2.6971551496196566e-05,-0.03361079718713704,0.018473130666893985
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,58,58,0.9254742255301813,3.1439967790647394e-05,-0.033977232489436716,0.018366995720496562
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,59,59,0.9374288402714784,-2.1517743770363418e-05,-0.03241966182218729,0.01657445577131767
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,60,60,0.951367760311312,1.7867798414589187e-05,-0.029622167314003342,0.01557925429624208
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,61,61,0.9656217174090707,-1.3503563169287025e-05,-0.025655171083269396,0.012084888895237561
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,62,62,0.9797884531645744,3.9161943256454945e-06,-0.017327999433742414,0.006431397446488841
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,63,63,0.9900051192990016,-9.875270833847871e-07,-0.01185934665727725,0.006860324259346618
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,64,64,0.9959593126205825,-1.4738440109601791e-06,-0.006362538202403789,
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,1,1,0.9960002768903955,2.9591382876573147e-05,-0.006366302193000024,0.006864309220303804
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,2,2,0.9900808759541393,-2.9090687293287232e-05,-0.011867937023547383,0.006437786407949208
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,3,3,0.9798868968200692,3.300147573948031e-05,-0.017349804793971923,0.01210223171788446
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,4,4,0.9656970795077471,-2.836690686175425e-05,-0.025692405326366363,0.01560520180228013
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,5,5,0.9514238157472883,2.2590292719837368e-05,-0.02966218412943889,0.01659621953322682
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,6,6,0.9374690370733825,-2.410431867230778e-06,-0.03245443059887777,0.018382780869419968
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,7,7,0.9255006658432325,-1.8159610030835105e-05,-0.03401502086678042,0.01849379096449013
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,8,8,0.9187803935296166,2.240600676252369e-05,-0.033647038297251644,0.018100059742433318
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,9,9,0.9163652785938847,-1.5483788289097355e-05,-0.03273575201656698,0.01755041603663144
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,10,10,0.9174202446566065,3.4415464498088744e-06,-0.031572112157752075,0.01691290923667509
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,11,11,0.9214521834075377,1.8306164881604081e-06,-0.03066709897828829,0.01658327834600665
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,12,12,0.9263970708125566,1.6396453071387818e-06,-0.0301902738277023,0.01640447862121311
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,13,13,0.9310521963478416,6.059959446691465e-06,-0.03019878871503289,0.01657000299027644
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,14,14,0.934667661093629,-2.759153194503705e-06,-0.030705946418609922,0.016930364365489017
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,15,15,0.9366871768168263,8.132056396617515e-06,-0.03143957128710774,0.017347064820022014
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,16,16,0.9371671106973324,6.507720616610868e-06,-0.03227287789160917,0.017808119279554193
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,17,17,0.93643691651422,2.2409619900021216e-06,-0.03305613822298749,0.018186020610105103
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,18,18,0.9349942854524304,1.0697047272259508e-05,-0.03364092647462924,0.01844113673529555
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,19,19,0.9333473607206123,2.003529407004767e-06,-0.03399668351057182,0.018573831359627837
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,20,20,0.9319028731985891,1.4020582082954758e-05,-0.03412892741961583,0.01859404488639769
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,21,21,0.9309060971761378,6.049110401057378e-07,-0.034092375838561416,0.018543425964489105
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,22,22,0.9304209987144894,1.329138622410686e-05,-0.03395579725539634,0.01845537901133971
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,23,23,0.930386313321588,2.1886694830247633e-06,-0.03378433019779734,0.01836405339235282
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,24,24,0.9306652419803674,1.1850522600581614e-05,-0.03362921659254198,0.01829130446086698
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,25,25,0.9310923163440654,4.516745482407991e-06,-0.03352287869232605,0.01824918111723768
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,26,26,0.9315256159511005,1.0127666485851283e-05,-0.03347658922216559,0.01823980622143163
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,27,27,0.9318656676085013,6.125839860718352e-06,-0.033486170522541894,0.0182571688466514
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,28,28,0.9320699599290934,9.07378042232232e-06,-0.033536401991910034,0.018291488177920937
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,29,29,0.9321444722064859,6.6073415642409206e-06,-0.03360774645518948,0.018331954838393706
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,30,30,0.9321291268355647,8.851397925238591e-06,-0.033680783302023655,0.018368674267880934
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,31,31,0.9320777364676895,6.447269098569519e-06,-0.0337391127896935,0.01839384251356564
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,32,32,0.9320384957487717,8.925333190398788e-06,-0.03377113637712076,0.01840278246797108
