label,cell,family,ladder,cell_sweep,energy_per_site,spin_rms,pair_rms,charge_std,density,global_relative,dmrg_last_sweep_delta
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,60,-0.5188203364667907,1.2148433985518125e-05,0.01796892016963376,0.0056511993247225795,0.9374958439408316,2.1035380441576318e-05,3.359795073265559e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,1,-0.518687442508162,0.003532754348193654,0.018382183860247304,0.006240781793233759,0.9374999304495372,0.3779764350214429,4.30351519753458e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,2,-0.5188188948414403,0.0032934249588560454,0.018147565649516015,0.0055992960864861855,0.9374943195198795,0.03024033792394578,4.065230996275204e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,3,-0.518819894912054,0.0015911078777337412,0.017984619476242972,0.005676214343604887,0.9374999980497927,0.006662260747744026,1.2566658824653132e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,4,-0.5188202841898448,0.001094648806418562,0.017972245392979338,0.005651576145914464,0.9374934673871432,0.0020057209615253475,9.696043434814783e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,5,-0.5188203221604079,0.0006479687571662488,0.017968952575481534,0.005653176817944701,0.9374950395905539,0.001657748962925041,5.36893310254527e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,6,-0.5188202948781734,0.000424852479181154,0.017968704645939453,0.005653064075026343,0.9374948631093308,0.0008844405835578617,8.915776561480016e-09
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,7,-0.5188203046853362,0.0002730194379666083,0.017968708546620922,0.005652595350318924,0.9374952017552248,0.0006007952019973174,7.24952542441315e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,8,-0.5188206145777036,0.00018181651286983502,0.017970376873261428,0.005631984105704865,0.9375021131064866,0.0003752078357929089,2.3074164801073493e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,9,-0.5188203043832541,0.0001205383895947212,0.017968889935809276,0.005656509174752087,0.9374931558832776,0.00026088580945037715,2.6033973199446336e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,10,-0.5188203038054416,8.096520750074545e-05,0.01796880587059152,0.0056514442149951044,0.9374956183365805,0.00016566333623650484,4.10107645620883e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,11,-0.5188203047824593,5.446840841275747e-05,0.017968707019306446,0.005653046149279498,0.9374950637770729,0.00011001241059328237,1.9720931732081226e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,12,-0.5188203326192722,3.68466351172842e-05,0.017968784310182364,0.005652492934439388,0.9374948586905433,7.190732038805513e-05,9.846726811701956e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,13,-0.5188206177897623,2.4960311900351465e-05,0.017971115500551395,0.005627805344442366,0.9375039332367964,9.166016277147397e-05,4.1218868318537716e-09
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,14,-0.5188203207188777,1.7242410065805244e-05,0.01796903428006153,0.005657557243659212,0.9374921984649247,9.847086410783963e-05,7.737207852187566e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,15,-0.5188203355721718,1.1538419491236737e-05,0.017968950517650024,0.005650818008837708,0.937495769181409,4.297818028614768e-05,5.852234608028084e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,16,-0.5188203365506748,8.150946341810374e-06,0.017968779559531398,0.005653042543925758,0.9374946572578985,2.6486181870395538e-05,2.9551506486313883e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,17,-0.5188203337848325,5.7310959616969685e-06,0.0179688084056543,0.005652487708589342,0.9374950295466732,2.696258446017509e-05,3.507068413455272e-09
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,18,-0.5188205908180454,3.664544104099162e-06,0.017970376470148774,0.005632039311408132,0.9375027540717662,6.31061066093361e-05,6.205300451256335e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,19,-0.5188203337351909,3.2037395354899487e-06,0.01796896368957099,0.005656588653420907,0.9374927824731293,7.410713422463481e-05,7.826207593097934e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,20,-0.5188203647877916,4.127401383003629e-06,0.017968892983970364,0.005651185330012302,0.9374954677928323,2.7779991474923202e-05,8.152829877872136e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,21,-0.5188203313216115,5.445338583402694e-06,0.017968792685730848,0.005652957283688917,0.9374947762724625,2.9497261337091916e-05,1.0450605714140693e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,22,-0.5188203258277437,5.056450641150138e-06,0.017968781894139953,0.0056524224989340545,0.9374951236987356,3.534281683429921e-05,2.0465313355089165e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,23,-0.5188203329699319,6.394047919197314e-06,0.01796877385617461,0.005652734458522506,0.9374948638761508,3.065931499238943e-05,7.543974334112136e-09
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,24,-0.5188203336217458,7.228588896295471e-06,0.01796881185952159,0.005652686226191756,0.9374950291869124,1.2864759660746908e-05,4.178218659944832e-09
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,25,-0.518820328313339,8.585171092698755e-06,0.017968814501562177,0.005652484767144248,0.9374951536946996,1.580758035267472e-05,2.3220536604640074e-09
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,26,-0.5188203306767937,8.342028138457727e-06,0.017968769780061695,0.005652828256396975,0.9374948887988477,2.3155549049288288e-05,6.597542778763454e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,27,-0.5188203050783393,1.0034468985596253e-05,0.01796876320299782,0.005652560852151512,0.9374952918681395,2.7892763399171653e-05,4.695061761594843e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,28,-0.5188203267550772,1.0283194086318216e-05,0.01796878682296916,0.005652768548124493,0.9374947949641995,1.8645879439990007e-05,1.6004946701286826e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,29,-0.5188202980936272,1.1599942270507785e-05,0.017968722590886988,0.0056528056863926045,0.9374952865793929,2.2234721416608266e-05,1.6714864159439458e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,30,-0.5188203281747258,1.1854025779986351e-05,0.017968749214796794,0.005653009614654833,0.9374947554294099,2.1032763303201537e-05,7.329930440391763e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,31,-0.518820583944343,1.0262863961539508e-05,0.01797044608336312,0.005631521311777506,0.937502738818816,7.113221184099408e-05,5.069534836366074e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,32,-0.5188203271796096,1.0233507285922763e-05,0.0179689314884846,0.005656705759135912,0.9374927757474296,8.046308765703024e-05,3.5916860952056595e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,33,-0.5188203330919892,1.1357950402661701e-05,0.017968921948817464,0.005651112312189704,0.937495770304818,2.541160750751926e-05,9.741751227920759e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,34,-0.518820333553505,1.255339027775696e-05,0.017968794194062145,0.005653079704455508,0.9374947198317533,1.8642618338037675e-05,3.910503210136085e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,35,-0.5188203348191677,1.2608613719164852e-05,0.017968779022744224,0.005652522507253892,0.9374951021691176,1.4474512107908731e-05,3.9508739746452193e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,36,-0.5188203307195011,1.3195581864894623e-05,0.01796880872583698,0.005652469959428944,0.9374950101115135,7.0379904474702235e-06,3.199551201760187e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,37,-0.5188205879009039,1.142467912919328e-05,0.017971173473542757,0.0056276276282189504,0.9375041447058226,8.349848671980088e-05,2.7645057798508788e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,38,-0.5188203086625796,1.0937496285159597e-05,0.01796902548794288,0.005657500907107885,0.9374924570470535,9.654036809656162e-05,4.891377898275096e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,39,-0.5188203261153768,1.2076252612142256e-05,0.017968904915812232,0.005651082504837382,0.9374955710803367,2.8552657204517136e-05,2.361912265769206e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,40,-0.5188203196074322,1.2549965720937742e-05,0.017968785198877842,0.00565313376129393,0.9374948861159977,9.950071796101743e-06,6.064094009161636e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,41,-0.5188205776480236,1.1155614769819272e-05,0.0179704132664571,0.005633411596747487,0.937501824067597,6.766325668434731e-05,6.948971531528514e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,42,-0.5188204602758697,1.028802647259298e-05,0.01796979213458407,0.005645181815035465,0.937497372004236,5.0350033113995586e-05,2.651898967087618e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,43,-0.5188203285291055,9.962328504179651e-06,0.017969015874370532,0.005653317859274999,0.9374945651338049,4.850155253114766e-05,2.1946817696516518e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,44,-0.5188203231874352,1.1384222405671797e-05,0.017968868653551434,0.005652233255131843,0.9374951776914884,1.4878660565722946e-05,1.2916694913656102e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,45,-0.5188203262006807,1.2327912977442886e-05,0.017968816298418455,0.005652609661083721,0.9374949556120719,7.336539007745233e-06,7.3983437687275e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,46,-0.5188203250912978,1.3182971914379578e-05,0.01796873970985332,0.0056528327082495345,0.9374950850564133,1.4580725847623488e-05,3.389073981452384e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,47,-0.5188203200525109,1.3260913604671445e-05,0.01796874721446847,0.00565278881794122,0.9374950433971558,1.325375872810926e-05,3.062719997615204e-07
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,48,-0.518820329506745,1.3648185755195177e-05,0.017968790613765787,0.005652520727768442,0.9374948810410315,4.330950502681118e-06,9.288805813412182e-08
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,49,-0.5188203274912963,1.3810069955391711e-05,0.017968755228093315,0.005653100623676757,0.9374948983443289,3.019201357145313e-06,3.9531187212560326e-09
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,50,-0.5188203288010866,1.4012186090955095e-05,0.017968799451127213,0.0056525608828046576,0.9374949881956357,3.126686263742886e-06,1.6464258578707813e-07
