run_id,selection,geometry,V,t0,source,channel,kx_multiple,kx_period,kx_over_pi,ky_over_pi,amplitude
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-19,54,-0.7037037037037037,0.0,3.726016104387377e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-18,54,-0.6666666666666666,0.0,5.11769494109424e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-17,54,-0.6296296296296297,0.0,3.82118468122143e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-16,54,-0.5925925925925926,0.0,4.067992159882845e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-15,54,-0.5555555555555556,0.0,3.289151893652161e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-14,54,-0.5185185185185185,0.0,1.4939735226169645e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-13,54,-0.48148148148148145,0.0,1.5987257101380267e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-12,54,-0.4444444444444444,0.0,2.3080088675371936e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-11,54,-0.4074074074074074,0.0,7.194827042373772e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-10,54,-0.37037037037037035,0.0,1.690443594043537e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-9,54,-0.3333333333333333,0.0,1.4150214730863144e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-8,54,-0.2962962962962963,0.0,6.103740539407387e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-7,54,-0.25925925925925924,0.0,6.658656756722663e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-6,54,-0.2222222222222222,0.0,1.2784498653439761e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-5,54,-0.18518518518518517,0.0,5.352362562939512e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-4,54,-0.14814814814814814,0.0,1.0848672707801701e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-3,54,-0.1111111111111111,0.0,1.0644383105205375e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-2,54,-0.07407407407407407,0.0,4.203814328282779e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,-1,54,-0.037037037037037035,0.0,4.014203007099441e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,0,54,0.0,0.0,4.722293441466298e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,1,54,0.037037037037037035,0.0,4.014203007099586e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,2,54,0.07407407407407407,0.0,4.2038143282830146e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,3,54,0.1111111111111111,0.0,1.0644383105205439e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,4,54,0.14814814814814814,0.0,1.0848672707801532e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,5,54,0.18518518518518517,0.0,5.352362562939484e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,6,54,0.2222222222222222,0.0,1.2784498653439554e-06
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,7,54,0.25925925925925924,0.0,6.658656756722936e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,sdw,8,54,0.2962962962962963,0.0,6.103740539407346e-07
