t0,V,family,rung,physical_charge,physical_spin_odd,physical_rung_pair
1.4,0.0,pairing,25,0.8614807512776055,0.030672767913544133,-0.011490726431272493
1.4,0.0,pairing,26,0.8599675037191188,0.02334732660473761,-0.011399079365500366
1.4,0.0,pairing,27,0.8756851070870281,-0.07446331341021038,-0.011044228466248047
1.4,0.0,pairing,28,0.9026631350129499,0.11965242501207542,-0.01061143086441552
1.4,0.0,pairing,29,0.9321733283167636,-0.15644840590480524,-0.010254848545837114
1.4,0.0,pairing,30,0.957061593041965,0.1834727560499924,-0.010048134988609554
1.4,0.0,pairing,31,0.9737914914195951,-0.2006497646437147,-0.009979066082333045
1.4,0.0,pairing,32,0.9816882447458919,0.20860254744215534,-0.009985077799861521
1.4,0.0,pairing,33,0.9810348590988746,-0.20784224529909512,-0.010014646911670108
1.4,0.0,pairing,34,0.9718021546187812,0.1983367164433528,-0.010067470828444707
1.4,0.0,pairing,35,0.9537652406718458,-0.17955212575202092,-0.010190718827433751
1.4,0.0,pairing,36,0.9279354739415002,0.15096360535322556,-0.010438345502669696
1.4,0.0,pairing,37,0.8983939672522303,-0.11286426111661173,-0.010815574509406968
1.4,0.0,pairing,38,0.8726862749147706,0.06683827951887096,-0.011241433680655074
1.4,0.0,pairing,39,0.8593425343840001,-0.015419025992170224,-0.01156242615569561
1.4,0.0,pairing,40,0.8634996143783705,-0.038401883118869246,-0.011601149989092709
1.4,0.0,pairing,41,0.8837908677126228,0.09117427647461991,-0.011238786378102886
1.4,0.0,pairing,42,0.9130842321044641,-0.13895220110785267,-0.01046936941608566
1.4,0.0,pairing,43,0.9425751888732699,0.17819158901868914,-0.009398606738841438
1.4,0.0,pairing,44,0.9660424289455143,-0.20708110893607304,-0.008181675503264946
1.4,0.0,pairing,45,0.981369118287007,0.22590180187721878,-0.0069598955645807595
1.4,0.0,pairing,46,0.989216460046721,-0.23606634387083691,-0.00583112378853296
1.4,0.0,pairing,47,0.9907794081985064,0.23880722661408132,-0.00485791750266411
1.4,0.0,pairing,48,0.9862789422387185,-0.23441395743271343,-0.00408781808013846
1.4,0.0,pairing,49,0.9746012233489489,0.2219829743777828,-0.0035614996046894687
1.4,0.0,pairing,50,0.9541668671463119,-0.19963879001852441,-0.0032966402434362937
1.4,0.0,pairing,51,0.9251910346827382,0.16561551609318254,-0.0032731254874078936
1.4,0.0,pairing,52,0.8923053071605243,-0.11990311400293194,-0.0034188471669967975
1.4,0.0,pairing,53,0.8648026020316171,0.06507511168610206,-0.0036183159733643353
1.4,0.0,pairing,54,0.8527081309097504,-0.005419084485175182,-0.0037458729953605257
1.4,0.0,pairing,55,0.8608671350719488,-0.05439339499292377,-0.003713291292794626
