id,reference,direction,window_low,window_high,actual_low,actual_high,points,fit,exponent_or_inverse_length,r2,log_rmse,sign_changes,minimum_magnitude
backfill_6,24,-1,8,20,8,15,8,exponential,0.46794017575035046,0.6334600780938038,0.8155883282653675,0,3.1963793431037486e-06
backfill_6,24,1,4,12,4,12,9,power,7.502646800455877,0.9129784437266871,0.8103204282783939,0,2.327944667652528e-06
backfill_6,24,1,4,12,4,12,9,exponential,1.0512800584247166,0.9764699084377179,0.4213618123317272,0,2.327944667652528e-06
backfill_6,24,1,8,20,8,20,13,power,6.104245288628797,0.8484721612209181,0.7274939257873018,0,4.2427917453006534e-07
backfill_6,24,1,8,20,8,20,13,exponential,0.4407988374471403,0.778829875557448,0.8789140119151541,0,4.2427917453006534e-07
backfill_6,24,1,12,28,12,28,17,power,11.976580110138114,0.7959645262578415,1.5532232616991573,0,1.5990239401940262e-10
backfill_6,24,1,12,28,12,28,17,exponential,0.6576199019788126,0.8778070133576366,1.2019992196472569,0,1.5990239401940262e-10
backfill_6,32,-1,4,12,4,12,9,power,1.3453165175707955,0.5856477159603433,0.3958678576384212,0,6.394186235793576e-05
backfill_6,32,-1,4,12,4,12,9,exponential,0.20275663414833944,0.7246497434400773,0.3227067985855851,0,6.394186235793576e-05
backfill_6,32,-1,8,20,8,20,13,power,10.958283901283634,0.9034038936940701,1.0105349958597722,0,3.884685092773894e-08
backfill_6,32,-1,8,20,8,20,13,exponential,0.8506898635364273,0.9583573016261168,0.6635000797746748,0,3.884685092773894e-08
backfill_6,32,-1,12,28,12,23,12,power,13.153006101368513,0.9218528423408446,0.7769572620636215,0,3.884685092773894e-08
backfill_6,32,-1,12,28,12,23,12,exponential,0.7584231387876389,0.8873539080594607,0.9328216166328314,0,3.884685092773894e-08
backfill_6,32,1,4,12,4,12,9,power,1.4792316106192724,0.6235959874651305,0.40204139374116254,0,6.56612941114153e-05
backfill_6,32,1,4,12,4,12,9,exponential,0.22115901114572503,0.7593302901859438,0.3214802999104931,0,6.56612941114153e-05
backfill_6,32,1,8,20,8,20,13,power,11.325267635383408,0.8966291161207807,1.0844540353014556,0,2.4734531312636534e-08
backfill_6,32,1,8,20,8,20,13,exponential,0.8815464196571645,0.9563004034834104,0.7051000537705489,0,2.4734531312636534e-08
