id,geometry,t0,V,chi,accepted,status,iteration,ladder,label,residual,spin_rms,short_raw_mean,short_raw_abs,short_connected_mean,short_connected_abs,long_raw_mean,long_raw_abs,long_connected_mean,long_connected_abs,rung_anomalous_rms,leg0_mean_2_8,leg0_negative_fraction_2_8,leg1_mean_2_8,leg1_negative_fraction_2_8,rung_leg0_mean_2_8,rung_leg0_negative_fraction_2_8,rung_leg1_mean_2_8,rung_leg1_negative_fraction_2_8
backfill_21,cubic_unfrustrated,1.0,-0.2,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t010_vm02_chi200_raw,1.6726426596384847e-06,0.3486604227054529,0.00372765954522528,0.00372765954522528,0.00372765954522528,0.00372765954522528,9.095542009184052e-12,9.095542009184052e-12,9.09554200918515e-12,9.09554200918515e-12,2.6994828713108296e-12,-0.00022806040122879916,0.3764705882352941,-0.00022790685661137742,0.3764705882352941,-0.0013312520789793142,0.9176470588235294,-0.001332713105592049,0.9159663865546218
backfill_22,cubic_unfrustrated,1.0,-0.2,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t010_vm02_chi200_raw,3.5940129714388033e-06,0.3486702353200761,0.0037092840056244395,0.0037092840056244395,0.0037092840056244395,0.0037092840056244395,8.905632754306962e-12,8.905632754306962e-12,8.90563275431967e-12,8.90563275431967e-12,1.4501612543533999e-11,-0.00022846383167272042,0.3764705882352941,-0.000228363554348091,0.373109243697479,-0.0013253861503409678,0.9176470588235294,-0.0013268855806785188,0.9159663865546218
backfill_23,cubic_unfrustrated,1.0,0.0,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t010_v000_chi200_raw,3.1479620751749537e-06,0.3562199882224281,0.003172283670988909,0.003172283670988909,0.003172283670988909,0.003172283670988909,1.8585742167500942e-12,1.858574217019858e-12,1.8585742167522567e-12,1.8585742170220856e-12,6.108496983956084e-12,-0.00027721722577209054,0.4117647058823529,-0.00027708948739780045,0.4134453781512605,-0.0011859303491645148,0.8722689075630252,-0.0011869511223473511,0.8739495798319328
backfill_24,cubic_unfrustrated,1.0,0.0,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t010_v000_chi200_raw,3.0414112511031183e-06,0.3562085351648926,0.003188294635534457,0.003188294635534457,0.003188294635534457,0.003188294635534457,1.8934573881503506e-12,1.8934774334300103e-12,1.8934573881501595e-12,1.8934774334298027e-12,7.761835475532544e-12,-0.00027686812779585993,0.4151260504201681,-0.0002766648753007741,0.41008403361344536,-0.001191389785568762,0.8773109243697479,-0.0011924265414025533,0.8739495798319328
backfill_25,cubic_unfrustrated,1.2,-0.4,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t012_vm04_chi200_raw,3.1782160965673246e-05,0.307315085265043,0.007219400116957372,0.007219400116957372,0.007219400116957372,0.007219400116957372,8.041290914576017e-09,8.041290914576017e-09,8.041290914576015e-09,8.041290914576015e-09,7.561514131333008e-12,0.0006899528036935656,0.16806722689075632,0.0006898958664327296,0.1781512605042017,-0.0025037852301610865,1.0,-0.0025069545695139343,1.0
backfill_26,cubic_unfrustrated,1.2,-0.4,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t012_vm04_chi200_raw,4.055503177838055e-05,0.30741294568896177,0.007073479580001875,0.007073479580001875,0.007073479580001875,0.007073479580001875,7.367152792864405e-09,7.367152792864405e-09,7.367152792864411e-09,7.367152792864411e-09,8.542876865441603e-12,0.0006705441235520423,0.17478991596638654,0.0006705637802985903,0.1815126050420168,-0.00245711978409282,1.0,-0.0024602209882197247,1.0
backfill_27,cubic_unfrustrated,1.2,-0.2,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t012_vm02_chi200_raw,7.274907722150739e-06,0.3163490082529529,0.005981985992118141,0.005981985992118141,0.005981985992118141,0.005981985992118141,1.2027367449369672e-09,1.2027367449369672e-09,1.2027367449368772e-09,1.2027367449368772e-09,2.321734560467139e-11,0.00046068406839561935,0.2184873949579832,0.00046078270218271477,0.21176470588235294,-0.002118858733857827,0.9983193277310924,-0.00212157322753142,0.9983193277310924
backfill_28,cubic_unfrustrated,1.2,-0.2,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t012_vm02_chi200_raw,7.096199735550854e-06,0.31636907388763774,0.005945207801340756,0.005945207801340756,0.005945207801340756,0.005945207801340756,1.18399165674088e-09,1.18399165674088e-09,1.1839916567408986e-09,1.1839916567408986e-09,6.717166950882316e-11,0.00045609870857870786,0.2184873949579832,0.00045618182838892267,0.21512605042016808,-0.002106725727466408,0.9983193277310924,-0.002109459279530162,0.9983193277310924
backfill_29,cubic_unfrustrated,1.2,0.0,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t012_v000_chi200_raw,5.3331828520305526e-06,0.326113626091457,0.004937414232463758,0.004937414232463758,0.004937414232463758,0.004937414232463758,1.485363329092816e-10,1.485363329092816e-10,1.4853633290935668e-10,1.4853633290935668e-10,2.568450676318571e-11,0.0002831337671225445,0.25882352941176473,0.0002831752645517183,0.25882352941176473,-0.0017998464735649805,0.9899159663865547,-0.0018020087957261273,0.9899159663865547
backfill_30,cubic_unfrustrated,1.2,0.0,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t012_v000_chi200_raw,5.2738035646025284e-06,0.3261162858747831,0.004927658526666434,0.004927658526666434,0.004927658526666434,0.004927658526666434,1.4697143364551226e-10,1.4697143364551226e-10,1.4697143364552113e-10,1.4697143364552113e-10,5.963604934859225e-12,0.0002820143566028367,0.25882352941176473,0.000282085304053167,0.26218487394957984,-0.0017964917192112282,0.9899159663865547,-0.001798655995204503,0.9915966386554622
