id,kind,channel,r,mean,mean_absolute,p10,p90
backfill_12,raw,rung,5,0.0059883476397864085,0.0059883476397864085,0.00042057301698912835,0.013893859185358279
backfill_12,raw,rung,6,0.004446760340170472,0.004446760340170472,0.0002966591303290831,0.010433348687109392
backfill_12,raw,rung,7,0.0032482008892486666,0.0032482008892486666,0.00018941773441140573,0.007739497442595016
backfill_12,raw,rung,8,0.002293771335675135,0.002293771335675135,0.00010388221466630057,0.005561274970401393
backfill_12,raw,rung,9,0.001560676240128369,0.001560676240128369,8.583957374970938e-05,0.0038489856995287106
backfill_12,raw,rung,10,0.0010298563473033467,0.0010298563473033467,8.283799820356833e-05,0.0026041380347089646
backfill_12,raw,rung,11,0.0006637455266491367,0.0006637455266491367,8.830459781525426e-05,0.001685021088427429
backfill_12,raw,rung,12,0.00042354507786591646,0.00042354507786591646,8.932425623453e-05,0.001074657720776811
backfill_12,raw,rung,13,0.00027068888597958553,0.00027068888597958553,8.434095845098349e-05,0.0006458612854819511
backfill_12,raw,rung,14,0.00017465178161587253,0.00017465178161587253,6.718496161029528e-05,0.0003820336191828351
backfill_12,raw,rung,15,0.00011527078871265377,0.00011527078871265377,4.94183264547041e-05,0.00020948760824930724
backfill_12,raw,rung,16,7.865089109256012e-05,7.865089109256012e-05,3.4508953149185313e-05,0.00011494310156904872
backfill_12,raw,rung,17,5.5566969298237834e-05,5.5566969298237834e-05,2.319546402895482e-05,9.475382683967597e-05
backfill_12,raw,rung,18,4.036002872629453e-05,4.036002872629453e-05,1.4606526505234978e-05,8.075375989540667e-05
backfill_12,raw,rung,19,2.9775584119352597e-05,2.9775584119352597e-05,8.309362686273256e-06,6.48483964260716e-05
backfill_12,raw,rung,20,2.202350894003858e-05,2.202350894003858e-05,3.936065883321574e-06,4.894415704191656e-05
backfill_12,raw,rung,21,1.6125713243060532e-05,1.6125713243060532e-05,1.510862731599097e-06,3.853256794263559e-05
backfill_12,raw,rung,22,1.1558981203556116e-05,1.1558981203556116e-05,7.86707835215121e-07,2.921792330299041e-05
backfill_12,raw,rung,23,8.050724618063766e-06,8.050724618063766e-06,3.0852924009937964e-07,2.1122382897756557e-05
backfill_12,raw,rung,24,5.434436192558173e-06,5.434436192558173e-06,3.240643557875171e-07,1.461881809193391e-05
backfill_12,raw,rung,25,3.566713350316956e-06,3.566713350316956e-06,2.97649761983483e-07,9.852134459272206e-06
