id,excluded_edge_rungs,short_connected_abs,long_connected_abs,long_raw_abs
square_AB_stripe_-0.4_A,4,0.012298324020889753,0.00031768285622561684,0.011728997144453331
square_AB_stripe_-0.4_A,8,0.011814648337092858,0.00030361128013676276,0.011660930599238882
square_AB_stripe_-0.4_A,12,0.011594070617838948,0.00030856822330058284,0.011796150736234641
square_AB_stripe_-0.4_B,4,0.012299068163770509,0.00031769164795088895,0.011729071180688333
square_AB_stripe_-0.4_B,8,0.011815308491852148,0.0003036111520955281,0.011660994598834375
square_AB_stripe_-0.4_B,12,0.011594768302863878,0.00030856081741427894,0.011796255638808262
square_AB_pairing_-0.4_A,4,0.01229835770444549,0.0003176832650590674,0.011728995293299817
square_AB_pairing_-0.4_A,8,0.011814678813363292,0.00030361201082552497,0.011660930480944697
square_AB_pairing_-0.4_A,12,0.011594098859325287,0.00030856957454677476,0.011796151505804445
square_AB_pairing_-0.4_B,4,0.012299268044062272,0.0003176906496957425,0.011729081930071108
square_AB_pairing_-0.4_B,8,0.011815475050912605,0.0003036102530404999,0.011661006865468641
square_AB_pairing_-0.4_B,12,0.011594944371969616,0.00030856026746744206,0.011796279924188618
square_AB_stripe_-0.2_A,4,0.012367552429274927,0.00026320893158990875,0.010359288479216876
square_AB_stripe_-0.2_A,8,0.011963143749826414,0.0002475421517532656,0.010296207099543693
square_AB_stripe_-0.2_A,12,0.011610465947660402,0.0002488634005039264,0.010385621288772524
square_AB_stripe_-0.2_B,4,0.012368922897191284,0.0002632195950032615,0.010359202090714958
square_AB_stripe_-0.2_B,8,0.011964258836704966,0.00024755146126919004,0.010296101614024536
square_AB_stripe_-0.2_B,12,0.011611615567199066,0.0002488737995634939,0.010385572524063039
square_AB_pairing_-0.2_A,4,0.012368566667064314,0.0002632198860604451,0.010359208824704372
square_AB_pairing_-0.2_A,8,0.01196396580766211,0.00024755193551603746,0.010296113598824356
square_AB_pairing_-0.2_A,12,0.011611314391907738,0.0002488737090783997,0.010385562517127099
square_AB_pairing_-0.2_B,4,0.012367603678519811,0.00026320882790595496,0.01035928655050679
square_AB_pairing_-0.2_B,8,0.01196317714000726,0.00024754201798417243,0.010296203686883354
square_AB_pairing_-0.2_B,12,0.01161050378158207,0.00024886349292693033,0.010385621416003228
bare,4,0.020767507494060373,0.005481882510257877,0.005481882510257877
bare,8,0.02034490204115027,0.005219490729502414,0.005219490729502414
bare,12,0.0192833253451513,0.0050419661254610055,0.0050419661254610055
