geometry	rung	charge_even	charge_even_centered	charge_odd	spin_even	spin_odd	beta_nn	beta_nn_centered
cubic_frustrated	56	-0.01851397742542264	-0.00571623550272753	4.959868522835809e-10	-1.29922114733283e-14	2.478312693954265e-14	0.04715865472801983	0.002415027135330719
cubic_frustrated	57	-0.0167676894577667	-0.003969947535071593	-2.594955101492546e-10	-2.216109240560371e-15	-5.601855784798104e-14	0.04604149642231676	0.001297868829627652
cubic_frustrated	58	-0.01420418178714751	-0.001406439864452401	-8.044955934066733e-11	1.454565634606553e-15	4.215811727492635e-14	0.04458578046685414	-0.0001578471258349631
cubic_frustrated	59	-0.01110825743460262	0.00168948448809249	-4.622354807942708e-10	5.609228359571006e-15	-1.912792840785826e-14	0.04298972964717671	-0.001753897945512402
cubic_frustrated	60	-0.007861325890899421	0.004936416031795688	-2.979101982464316e-10	3.540570614468663e-15	2.577018459737346e-14	0.04140664241626457	-0.003336985176424535
cubic_frustrated	61	-0.00490270533304386	0.007895036589651249	-2.263552735005947e-10	1.847263661480802e-15	-4.709405608538386e-14	0.04012865739721122	-0.004614970195477887
cubic_frustrated	62	-0.002619254067004844	0.01017848785569027	-1.021875208149364e-10	-1.261686068121382e-15	2.268400311339347e-14	0.03969556789558829	-0.005048059697100815
cubic_frustrated	63	-0.001156135619796485	0.01164160630289862	-9.566575179600911e-12	-6.138210599526683e-16	2.424872368872455e-15	0.03489504935683908	-0.009848578235850024
cubic_frustrated	64	-0.0003412141397981166	0.01245652778289699	-2.163574256818651e-11	-1.312860410662697e-15	-9.739361010382974e-15	NaN	NaN
cubic_unfrustrated	1	-0.0003412027605264305	0.01245653916216868	-7.541507953605191e-11	1.682275195882821e-15	1.387985050244761e-13	0.03489503977617622	-0.009848587816512891
cubic_unfrustrated	2	-0.001156101977586976	0.01164163994510814	-3.345215098850274e-11	-1.767574801803118e-15	-2.389673745342713e-13	0.03969554337924509	-0.005048084213444021
cubic_unfrustrated	3	-0.002619191664459552	0.01017855025823556	-5.073761708083296e-10	1.649071504350452e-16	3.201368206987021e-13	0.04012861913626779	-0.004615008456421321
cubic_unfrustrated	4	-0.004902622342284889	0.007895119580410222	-1.999985272879701e-10	-2.835839202353085e-15	-2.515843436357024e-13	0.04140659605962112	-0.00333703153306799
cubic_unfrustrated	5	-0.007861221555368968	0.004936520367326145	-2.118730295375126e-10	2.557416084458808e-15	1.248857788016533e-13	0.04298966892009683	-0.00175395867259228
cubic_unfrustrated	6	-0.01110814136720265	0.001689600555492462	-5.258975876304417e-10	-4.160734257130372e-15	-6.587005246805333e-14	0.04458571158157032	-0.0001579160111187874
cubic_unfrustrated	7	-0.01420406673604851	-0.001406324813353396	1.023427163328317e-09	8.968086689931098e-15	2.457452644155644e-14	0.04604142602930378	0.001297798436614678
cubic_unfrustrated	8	-0.01676758766283296	-0.003969845740137843	3.044240276528498e-10	-4.768754835460243e-15	-8.621575675604731e-15	0.04715858769292639	0.002414960100237284
cubic_unfrustrated	9	-0.01851388979125892	-0.005716147868563805	3.822032759726035e-10	1.710437347313132e-15	2.211772431870429e-15	0.04780983128252052	0.003066203689831411
cubic_unfrustrated	10	-0.01928836395047899	-0.006490622027783877	-1.50587291247728e-09	1.620231726562338e-15	-4.097416850257218e-15	0.04796925144759652	0.003225623854907413
cubic_unfrustrated	11	-0.01909261486117061	-0.006294872938475502	-7.228413216944785e-09	3.08607306376274e-15	-1.880613720306457e-14	0.04767861485720584	0.002934987264516728
cubic_unfrustrated	12	-0.01807323811601464	-0.005275496193319532	-6.499733227333104e-09	-1.505739977147869e-15	4.691559640779275e-14	0.04703551856371743	0.002291890971028318
cubic_unfrustrated	13	-0.01648501945273537	-0.003687277530040254	-3.349657587761734e-09	-5.597952656977156e-15	-1.134110166889357e-13	0.04618135779193586	0.001437730199246749
cubic_unfrustrated	14	-0.01464306714955593	-0.001845325226860813	-5.157631282996789e-09	-2.881375693597477e-15	1.621515421934561e-13	0.04527677984829604	0.0005331522556069335
cubic_unfrustrated	15	-0.01287163336598328	-7.38914432881696e-05	-6.620347566162199e-09	-6.717716660720185e-15	-1.934155960392481e-13	0.04447568883536367	-0.0002679387573254338
cubic_unfrustrated	16	-0.01145636199473786	0.001341379927957256	-5.924020506781202e-09	-5.4899661205976e-15	1.448680585214301e-13	0.04390302511841128	-0.0008406024742778281
cubic_unfrustrated	17	-0.01060529304112543	0.002192448881569681	-3.192652538175356e-09	6.269290642180181e-15	-9.874826650824176e-14	0.04363820463876408	-0.001105422953925031
cubic_unfrustrated	18	-0.01042288976586736	0.002374852156827751	-2.154739680085282e-09	9.037909309839165e-16	7.216102715368322e-14	0.0437059847571415	-0.001037642835547609
cubic_unfrustrated	19	-0.01089992386004883	0.001897818062646283	2.689540923306311e-09	5.39499001028787e-16	-4.233505906947599e-14	0.04407557865944738	-0.0006680489332417314
cubic_unfrustrated	20	-0.01192017014710082	0.0008775717755942925	4.94918451186821e-09	4.302547901291476e-15	-5.98436231125099e-15	0.04466806279425052	-7.556479843858627e-05
cubic_unfrustrated	21	-0.01328296281724712	-0.0004852208945520069	-1.716641679500031e-09	4.063589742475671e-15	1.502097057848317e-14	0.04537086147558248	0.0006272338828933743
cubic_unfrustrated	22	-0.01473841668133424	-0.001940674758639129	3.17751653287901e-09	1.111090386363145e-14	3.881183568976709e-14	0.04605722115803684	0.001313593565347736
cubic_unfrustrated	23	-0.01602987867156746	-0.003232136748872346	1.329597178884034e-10	-1.60288449180257e-15	3.175931739818338e-14	0.04660764480158445	0.001864017208895341
