geometry	block	rank	eigenvalue_real	basis_index	basis_label	coefficient_real	coefficient_imag	weight	cumulative_weight
square	normal	2	1.015439070677566	4	spin_odd_m58	0.9999999757120069	0	0.9999999514240144	0.9999999514240144
square	normal	2	1.015439070677566	2	charge_even_m8	-0.0002174012647531414	0	4.726330991626547e-08	0.9999999986873244
square	normal	2	1.015439070677566	3	charge_even_m9	-3.068766405900657e-05	0	9.417327253984434e-10	0.9999999996290571
square	normal	2	1.015439070677566	6	spin_odd_m63	-1.534441558707425e-05	0	2.35451089708847e-10	0.9999999998645082
square	normal	2	1.015439070677566	5	spin_odd_m59	-1.148014210383047e-05	0	1.317936627241412e-10	0.9999999999963018
square	normal	2	1.015439070677566	1	charge_even_m7	1.807054211480286e-06	0	3.265444923228637e-12	0.9999999999995673
square	normal	2	1.015439070677566	7	cov_charge_even_rank1	-6.25647320360707e-07	0	3.914345694745331e-13	0.9999999999999588
square	normal	2	1.015439070677566	8	cov_charge_odd_rank1	2.032289436564137e-07	0	4.130200353970177e-14	1
square	normal	2	1.015439070677566	9	cov_spin_even_rank1	-5.163389227454348e-09	0	2.66605883141916e-17	1
square	normal	3	0.9860482120266683	6	spin_odd_m63	0.9895594707515488	0	0.9792279461540854	0.9792279461540854
square	normal	3	0.9860482120266683	5	spin_odd_m59	-0.1441250072026839	0	0.02077201770117369	0.999999963855259
square	normal	3	0.9860482120266683	2	charge_even_m8	-0.000171305278979403	0	2.934549860621108e-08	0.9999999932007576
square	normal	3	0.9860482120266683	3	charge_even_m9	-7.806956386950274e-05	0	6.094856802774368e-09	0.9999999992956145
square	normal	3	0.9860482120266683	4	spin_odd_m58	2.531631984952168e-05	0	6.409160507232857e-10	0.9999999999365305
square	normal	3	0.9860482120266683	1	charge_even_m7	7.966333402295221e-06	0	6.346246787652455e-11	0.999999999999993
square	normal	3	0.9860482120266683	8	cov_charge_odd_rank1	6.781181839152716e-08	0	4.598442713565461e-15	0.9999999999999976
square	normal	3	0.9860482120266683	9	cov_spin_even_rank1	4.424988242744083e-08	0	1.958052094842337e-15	0.9999999999999996
square	normal	3	0.9860482120266683	7	cov_charge_even_rank1	-1.876085542047966e-08	0	3.519696961081412e-16	0.9999999999999999
square	pair	1	4.668807757152312	12	pair_leg_s_q0	0.9993700124265672	0	0.9987404217374771	0.9987404217374771
square	pair	1	4.668807757152312	10	pair_onsite_s_q0	-0.03549053764770043	-0	0.001259578262522842	1
square	pair	1	4.668807757152312	11	pair_rung_s_q0	0	-0	0	1
square	pair	2	0.004545610503539521	10	pair_onsite_s_q0	0.9993701857020602	0	0.9987407680701702	0.9987407680701702
square	pair	2	0.004545610503539521	12	pair_leg_s_q0	0.03548565808646614	0	0.00125923192982958	0.9999999999999998
square	pair	2	0.004545610503539521	11	pair_rung_s_q0	0	-0	0	0.9999999999999998
square	pair	3	0	10	pair_onsite_s_q0	0.6120887964393911	0	0.3746526947266223	0.3746526947266223
square	pair	3	0	12	pair_leg_s_q0	-0.564086476488132	-0	0.318193552956796	0.6928462476834183
square	pair	3	0	11	pair_rung_s_q0	-0.5542145363634752	-0	0.3071537523165818	1
