branch	seed	rung	charge_even	charge_odd	spin_even	spin_odd
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	29	2.196207822825492e-05	0	0	-0.0005214668745783457
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	30	7.32315739248202e-05	0	0	0.0005994188227157196
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	31	0.0001126591895396021	0	0	-0.0006531702357189056
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	32	0.0001340529136026206	0	0	0.0006805895999989463
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	33	0.0001340529136026206	0	0	-0.0006805895999989463
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	34	0.0001126591895396023	0	0	0.0006531702357189058
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	35	7.323157392482037e-05	0	0	-0.0005994188227157198
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	36	2.196207822825492e-05	0	0	0.0005214668745783457
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	37	-3.309754751491706e-05	0	0	-0.0004224055777046309
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	38	-8.330032253199316e-05	0	0	0.0003061632102295805
