geometry	mode_number	q_over_pi	coefficient	absolute_profile_cosine
square	12	0.1904761904761905	0.0001045127531533373	0.04547917926154684
square	13	0.2063492063492063	-1.264188731288896e-09	5.502495142328446e-07
square	14	0.2222222222222222	0.0001088043109423624	0.04734666930567574
square	15	0.2380952380952381	-4.03859897233862e-10	1.757836521984036e-07
square	16	0.253968253968254	0.0001152896448986397	0.0501687905939342
square	17	0.2698412698412698	-9.857826185285652e-10	4.290707499349851e-07
square	18	0.2857142857142857	0.0001224669518056916	0.05329202692244279
square	19	0.3015873015873016	6.402782328635004e-10	2.786868589360986e-07
square	20	0.3174603174603174	0.0001261337752326968	0.05488766109076807
square	21	0.3333333333333333	-4.285129992162573e-10	1.865141365432309e-07
square	22	0.3492063492063492	0.0001281790630304194	0.05577767697483544
square	23	0.3650793650793651	-3.935411024168545e-10	1.712923039566912e-07
square	24	0.3809523809523809	0.0001294177154206151	0.05631668195170941
square	25	0.3968253968253968	4.094043190999282e-10	1.781969116653481e-07
square	26	0.4126984126984127	0.0001302686680221955	0.05668697767871581
square	27	0.4285714285714285	-2.122607010696752e-10	9.238837901521228e-08
square	28	0.4444444444444444	0.0001308962487765183	0.05696007217451451
square	29	0.4603174603174603	-8.179152741045499e-11	3.560049785625148e-08
square	30	0.4761904761904762	0.0001313535835936737	0.0571590834100279
square	31	0.492063492063492	-9.470904341228726e-11	4.122296284670726e-08
square	32	0.5079365079365079	0.0001316484984240095	0.05728741688160011
square	33	0.5238095238095238	-1.964235797384424e-10	8.549512956054576e-08
square	34	0.5396825396825397	0.0001317954704675704	0.05735137240581956
square	35	0.5555555555555556	-6.646863712478782e-11	2.893107205964095e-08
square	36	0.5714285714285714	0.0001318173340518523	0.05736088643964656
square	37	0.5873015873015873	-3.646159909788712e-12	1.587023896702805e-09
square	38	0.6031746031746031	0.000131750322379017	0.05733172601864971
square	39	0.6190476190476191	-7.03748954544084e-11	3.063130612104179e-08
square	40	0.6349206349206349	0.000131629807251942	0.05727928333675105
square	41	0.6507936507936508	-9.945212786312586e-11	4.328743304365815e-08
square	42	0.6666666666666666	0.0001314886628898817	0.05721786375349239
square	43	0.6825396825396826	1.175219420977809e-10	5.115248216910345e-08
square	44	0.6984126984126984	0.0001313474743534673	0.05715642494757134
square	45	0.7142857142857143	-1.746571010815671e-10	7.602107394289851e-08
square	46	0.7301587301587301	0.0001312197259527998	0.05710083467519747
square	47	0.746031746031746	6.04166144463774e-11	2.629687474519505e-08
square	48	0.7619047619047619	0.0001311092621974456	0.05705276589143589
square	49	0.7777777777777778	1.044906872031787e-11	4.548051129690001e-09
square	50	0.7936507936507936	0.0001310169952262417	0.05701261551747005
square	51	0.8095238095238095	3.534681880123425e-11	1.53850207711515e-08
square	52	0.8253968253968254	0.0001309393865815898	0.05697884377808065
square	53	0.8412698412698413	-1.698257493499577e-12	7.39181837876392e-10
square	54	0.8571428571428571	0.0001308756315502552	0.05695110049880216
