lineage,role,rung,charge_even,charge_odd,spin_even,spin_odd,pair_onsite_even,pair_onsite_odd,pair_rung,pair_leg_even,pair_leg_odd,pair_extended_s,pair_d,density,staggered_spin_odd
pairing,chi200_parent,7,-0.005119745085108564,6.019857503626602e-08,1.7420282403656645e-07,-5.894421440909292e-07,-0.00023882999280588487,1.6693558580366556e-08,0.0,0.004706869234509633,6.766604767824425e-10,0.004706869234509633,0.004706869234509633,0.924976417234365,4.318775715161927e-06
pairing,chi200_parent,8,-0.005425219958542612,1.3520093634445188e-07,1.735588747201703e-07,-4.704303454379152e-09,-0.00023566568338572475,-1.1966321206087526e-08,0.0,0.004639786723972787,-2.67065777600356e-08,0.004639786723972787,0.004639786723972787,0.9205000577537805,-3.446789768879466e-08
pairing,chi200_parent,9,-0.005459882145894144,1.6881154164555962e-07,3.8448246617549253e-07,3.865762741310681e-07,-0.00022877757899328105,-2.2700601622134445e-08,0.0,0.0045064357736822915,-6.58548897991898e-08,0.0045064357736822915,0.0045064357736822915,0.9199921259254618,-2.8324005019175758e-06
pairing,chi200_parent,10,-0.005318211673833901,1.316702278155238e-07,2.7734188514662826e-07,-9.99447038601024e-07,-0.00022199382408721042,-1.7320500169206755e-09,0.0,0.0043739546919864,-4.520027850293297e-08,0.0043739546919864,0.0043739546919864,0.9220681328768573,-7.322835060524779e-06
pairing,chi200_parent,11,-0.005095204930721965,2.6186974005047714e-08,-9.623824921830768e-08,3.7996450222201744e-07,-0.00021741814662148894,3.855704163279318e-08,0.0,0.004282551009548375,-4.235251050972548e-08,0.004282551009548375,0.004282551009548375,0.9253360230883868,-2.7839567992710146e-06
pairing,chi200_parent,12,-0.004867835702616798,-7.179902859148074e-08,-3.463833855854581e-07,-4.626685802572479e-07,-0.0002156564518006525,2.2353401432284787e-08,0.0,0.004246534190684671,-7.378359775933596e-08,0.004246534190684671,0.004246534190684671,0.9286678401651242,-3.3899201959258773e-06
pairing,chi200_parent,13,-0.004686467129362533,-7.321622216231033e-08,-4.2804752831159844e-07,7.304585643824312e-07,-0.00021649665558386735,2.489742581707492e-08,0.0,0.004261203414378453,-3.2743066696568415e-08,0.004261203414378453,0.004261203414378453,0.9313255740835967,-5.351987027751859e-06
pairing,chi200_parent,14,-0.004574337247528907,-2.389787027079135e-08,-2.5751557565577114e-07,-4.1512980790739916e-07,-0.0002191226081162642,3.928490927425062e-08,0.0,0.004311010297491192,-2.4023692737819985e-09,0.004311010297491192,0.004311010297491192,0.93296869992881,-3.041609004383883e-06
pairing,chi200_parent,15,-0.004531762426405981,2.4883867569790163e-08,-1.3619507164457437e-07,9.347848782623874e-08,-0.00022256822930061495,3.0675465746769466e-08,0.0,0.00437704039422199,-1.1610415321435669e-08,0.00437704039422199,0.00437704039422199,0.9335925816969743,-6.849062747921186e-07
pairing,chi200_parent,16,-0.004543592875006605,2.6023198787701596e-08,-1.3840955264939406e-08,1.0356425327148928e-07,-0.00022594342727446975,2.381169224193987e-08,0.0,0.004442494314889613,-2.3940248182951693e-08,0.004442494314889613,0.004442494314889613,0.9334192209876052,7.588035339373134e-07
pairing,chi200_parent,17,-0.004587921016538685,3.010500862141163e-08,4.360269195897472e-08,-2.421797047032822e-07,-0.00022868274525133362,2.4512067202170015e-08,0.0,0.004495838032395749,-1.7824560087035396e-08,0.004495838032395749,0.004495838032395749,0.9327696464600078,1.7744232200939125e-06
pairing,chi200_parent,18,-0.004643166193073811,3.452346293694383e-08,4.28522115496037e-08,3.384540784687369e-07,-0.00023052251133025655,2.4263649324064306e-08,0.0,0.004531782119449861,-2.047896388839704e-08,0.004531782119449861,0.004531782119449861,0.9319600961786392,2.479814633957189e-06
pairing,chi200_parent,19,-0.004693051046026452,3.473695288141662e-08,-3.3878144564203697e-08,-3.4383750558970687e-07,-0.00023146870141394323,3.1788215979560125e-08,0.0,0.004550367304109491,-1.59981014716086e-08,0.004550367304109491,0.004550367304109491,0.9312290948627476,2.5192583937017066e-06
pairing,chi200_parent,20,-0.0047285026832342356,3.882514560370198e-08,-1.2439077834544739e-07,2.6287618889162846e-07,-0.00023170659594679558,4.0396327012393344e-08,0.0,0.00455508851887918,-1.589088102120842e-08,0.00455508851887918,0.00455508851887918,0.9307095946153678,1.9260640116425254e-06
pairing,chi200_parent,21,-0.004747088425074705,3.599364106895639e-08,-1.8203471498202083e-07,-2.1188613062521865e-07,-0.00023149146662063542,3.694255513869986e-08,0.0,0.004550945342271744,-1.9325624305271266e-08,0.004550945342271744,0.004550945342271744,0.9304372433716926,1.5524656397508663e-06
pairing,chi200_parent,22,-0.004751084964278777,3.1516081708780896e-08,-2.4935550731685317e-07,1.074480263207455e-07,-0.00023107846975512324,3.4938420601934124e-08,0.0,0.004542799981807483,-1.4861997870655591e-08,0.004542799981807483,0.004542799981807483,0.9303786789930432,7.872594984387193e-07
pairing,chi200_parent,23,-0.0047451888320139204,2.2432868751389584e-08,-3.064539772737896e-07,-4.9434831961249134e-08,-0.00023065705292223582,3.5321239317477235e-08,0.0,0.004534411515212244,-1.6764461878600312e-08,0.004534411515212244,0.004534411515212244,0.9304650795773723,3.622034051992129e-07
pairing,chi200_parent,24,-0.004734568021163591,1.724072561104517e-08,-3.3010259794900854e-07,1.246446298171916e-08,-0.00023034068611185848,3.632068599319308e-08,0.0,0.004528047542156036,-1.5207847971600644e-08,0.004528047542156036,0.004528047542156036,0.9306207145296252,9.132570612246926e-08
